movie_title,director_name,language,country,genres,actor_1_name,actor_2_name,actor_3_name,comb
bad teacher,Jake Kasdan,English,USA,Comedy,Justin Timberlake,John Michael Higgins,Phyllis Smith,Jake Kasdan English USA Comedy Justin Timberlake John Michael Higgins Phyllis Smith
sea of love,Harold Becker,English,USA,Crime Drama Mystery Thriller,Al Pacino,Michael O'Neill,Ellen Barkin,Harold Becker English USA Crime Drama Mystery Thriller Al Pacino Michael O'Neill Ellen Barkin
a cinderella story,Mark Rosman,English,USA,Comedy Family Romance,Dan Byrd,Lin Shaye,Julie Gonzalo,Mark Rosman English USA Comedy Family Romance Dan Byrd Lin Shaye Julie Gonzalo
scream,Wes Craven,English,USA,Horror Mystery,David Arquette,W. Earl Brown,Roger Jackson,Wes Craven English USA Horror Mystery David Arquette W. Earl Brown Roger Jackson
thir13en ghosts,Steve Beck,English,USA,Horror,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Steve Beck English USA Horror Shannon Elizabeth Embeth Davidtz F. Murray Abraham
the shining,Stanley Kubrick,English,USA,Drama Horror,Scatman Crothers,Shelley Duvall,Joe Turkel,Stanley Kubrick English USA Drama Horror Scatman Crothers Shelley Duvall Joe Turkel
back to the future,Robert Zemeckis,English,USA,Adventure Comedy Sci-Fi,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Robert Zemeckis English USA Adventure Comedy Sci-Fi Lea Thompson Thomas F. Wilson J.J. Cohen
house on haunted hill,William Malone,English,USA,Horror Mystery Thriller,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,William Malone English USA Horror Mystery Thriller Jeffrey Combs Peter Gallagher Bridgette Wilson-Sampras
i can do bad all by myself,Tyler Perry,English,USA,Comedy Drama,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Tyler Perry English USA Comedy Drama Eric Mendenhall Mary J. Blige Hope Olaide Wilson
fight valley,Rob Hawk,English,USA,Action Drama,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Rob Hawk English USA Action Drama Kari J. Kramer Erin O'Brien Cabrina Collesides
the switch,Josh Gordon,English,USA,Comedy Drama Romance,Caroline Dhavernas,Scott Elrod,Kelli Barrett,Josh Gordon English USA Comedy Drama Romance Caroline Dhavernas Scott Elrod Kelli Barrett
just married,Shawn Levy,English,USA,Comedy Romance,Taran Killam,David Agranov,David Moscow,Shawn Levy English USA Comedy Romance Taran Killam David Agranov David Moscow
the devil's double,Lee Tamahori,English,Belgium,Biography Drama Thriller,Mem Ferda,Dominic Cooper,Ludivine Sagnier,Lee Tamahori English Belgium Biography Drama Thriller Mem Ferda Dominic Cooper Ludivine Sagnier
"gone, baby, gone            ",unknown,English,unknown,Comedy Drama Reality-TV Romance,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,unknown English unknown Comedy Drama Reality-TV Romance Nicole 'Snooki' Polizzi Jenni 'Jwoww' Farley Paul 'Pauly D' DelVecchio
thomas and the magic railroad,Britt Allcroft,English,UK,Adventure Comedy Drama Family Fantasy,Mara Wilson,Colm Feore,Peter Fonda,Britt Allcroft English UK Adventure Comedy Drama Family Fantasy Mara Wilson Colm Feore Peter Fonda
the crazies,Breck Eisner,English,USA,Horror Thriller,Radha Mitchell,Glenn Morshower,John Aylward,Breck Eisner English USA Horror Thriller Radha Mitchell Glenn Morshower John Aylward
spirited away,Hayao Miyazaki,Japanese,Japan,Adventure Animation Family Fantasy,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Hayao Miyazaki Japanese Japan Adventure Animation Family Fantasy Bunta Sugawara Ryûnosuke Kamiki Miyu Irino
firestorm,Alan Yuen,Mandarin,China,Action Crime Thriller,Andy Lau,Michael Wong,Terence Yin,Alan Yuen Mandarin China Action Crime Thriller Andy Lau Michael Wong Terence Yin
the bounty,Roger Donaldson,English,UK,Action Adventure Drama History Romance,Liam Neeson,Anthony Hopkins,Laurence Olivier,Roger Donaldson English UK Action Adventure Drama History Romance Liam Neeson Anthony Hopkins Laurence Olivier
the book thief,Brian Percival,English,USA,Drama War,Emily Watson,Sophie Nélisse,Roger Allam,Brian Percival English USA Drama War Emily Watson Sophie Nélisse Roger Allam
sex drive,Sean Anders,English,USA,Adventure Comedy Romance,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Sean Anders English USA Adventure Comedy Romance Katrina Bowden Michael Cudlitz Alice Greczyn
leap year,Anand Tucker,English,USA,Comedy Romance,Adam Scott,Kaitlin Olson,Dominique McElligott,Anand Tucker English USA Comedy Romance Adam Scott Kaitlin Olson Dominique McElligott
the fall of the roman empire,Anthony Mann,English,USA,Drama History War,James Mason,Mel Ferrer,Stephen Boyd,Anthony Mann English USA Drama History War James Mason Mel Ferrer Stephen Boyd
take me home tonight,Michael Dowse,English,USA,Comedy Drama Romance,Topher Grace,Michael Biehn,Dan Fogler,Michael Dowse English USA Comedy Drama Romance Topher Grace Michael Biehn Dan Fogler
won't back down,Daniel Barnz,English,USA,Drama,Holly Hunter,Rosie Perez,Dante Brown,Daniel Barnz English USA Drama Holly Hunter Rosie Perez Dante Brown
the nutcracker,Emile Ardolino,English,USA,Family Fantasy Music,Darci Kistler,Kyra Nichols,Margaret Tracey,Emile Ardolino English USA Family Fantasy Music Darci Kistler Kyra Nichols Margaret Tracey
kansas city,Robert Altman,English,France,Crime Drama Music Thriller,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Robert Altman English France Crime Drama Music Thriller Steve Buscemi Jennifer Jason Leigh Miranda Richardson
indignation,James Schamus,Hebrew,USA,Drama,Logan Lerman,Sarah Gadon,Tracy Letts,James Schamus Hebrew USA Drama Logan Lerman Sarah Gadon Tracy Letts
the amityville horror,Andrew Douglas,English,USA,Drama Horror Mystery Thriller,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Andrew Douglas English USA Drama Horror Mystery Thriller Jimmy Bennett Chloë Grace Moretz Ryan Reynolds
adaptation.,Spike Jonze,English,USA,Comedy Drama,Nicolas Cage,Meryl Streep,Roger Willie,Spike Jonze English USA Comedy Drama Nicolas Cage Meryl Streep Roger Willie
land of the dead,George A. Romero,English,Canada,Horror,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,George A. Romero English Canada Horror Tony Nappo Shawn Roberts Pedro Miguel Arce
out of inferno,Danny Pang,Chinese,China,Action,Louis Koo,Angelica Lee,Ching Wan Lau,Danny Pang Chinese China Action Louis Koo Angelica Lee Ching Wan Lau
fear and loathing in las vegas,Terry Gilliam,English,USA,Adventure Comedy Drama,Johnny Depp,Michael Jeter,Ellen Barkin,Terry Gilliam English USA Adventure Comedy Drama Johnny Depp Michael Jeter Ellen Barkin
the invention of lying,Ricky Gervais,English,USA,Comedy Fantasy Romance,Jennifer Garner,Tina Fey,Martin Starr,Ricky Gervais English USA Comedy Fantasy Romance Jennifer Garner Tina Fey Martin Starr
neighbors,Nicholas Stoller,English,USA,Comedy,Craig Roberts,Carla Gallo,Ike Barinholtz,Nicholas Stoller English USA Comedy Craig Roberts Carla Gallo Ike Barinholtz
the mask,Chuck Russell,English,USA,Action Comedy Crime Fantasy,Peter Greene,Amy Yasbeck,Reg E. Cathey,Chuck Russell English USA Action Comedy Crime Fantasy Peter Greene Amy Yasbeck Reg E. Cathey
big,Penny Marshall,English,USA,Comedy Drama Family Fantasy Romance,Tom Hanks,Jon Lovitz,John Heard,Penny Marshall English USA Comedy Drama Family Fantasy Romance Tom Hanks Jon Lovitz John Heard
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Larry Charles,English,USA,Comedy,Luenell,Ken Davitian,Chester,Larry Charles English USA Comedy Luenell Ken Davitian Chester
legally blonde,Robert Luketic,English,USA,Comedy Romance,Linda Cardellini,Raquel Welch,Alanna Ubach,Robert Luketic English USA Comedy Romance Linda Cardellini Raquel Welch Alanna Ubach
star trek iii: the search for spock,Leonard Nimoy,English,USA,Action Adventure Sci-Fi,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Leonard Nimoy English USA Action Adventure Sci-Fi Leonard Nimoy Nichelle Nichols Walter Koenig
the exorcism of emily rose,Scott Derrickson,English,USA,Drama Horror Thriller,Tom Wilkinson,Colm Feore,JR Bourne,Scott Derrickson English USA Drama Horror Thriller Tom Wilkinson Colm Feore JR Bourne
deuce bigalow: male gigolo,Mike Mitchell,English,USA,Comedy Romance,Amy Poehler,Eddie Griffin,Bree Turner,Mike Mitchell English USA Comedy Romance Amy Poehler Eddie Griffin Bree Turner
left behind,Vic Armstrong,English,USA,Action Drama Fantasy Mystery Thriller,Nicolas Cage,Lea Thompson,Quinton Aaron,Vic Armstrong English USA Action Drama Fantasy Mystery Thriller Nicolas Cage Lea Thompson Quinton Aaron
the family stone,Thomas Bezucha,English,USA,Comedy Drama Romance,Craig T. Nelson,Paul Schneider,Tyrone Giordano,Thomas Bezucha English USA Comedy Drama Romance Craig T. Nelson Paul Schneider Tyrone Giordano
barbershop 2: back in business,Kevin Rodney Sullivan,English,USA,Comedy Drama,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Kevin Rodney Sullivan English USA Comedy Drama Harry Lennix Sean Patrick Thomas Kenan Thompson
bad santa,Terry Zwigoff,English,USA,Comedy Crime Drama,Bernie Mac,Tony Cox,Alex Borstein,Terry Zwigoff English USA Comedy Crime Drama Bernie Mac Tony Cox Alex Borstein
austin powers: international man of mystery,Jay Roach,English,USA,Comedy Crime,Will Ferrell,Charles Napier,Robert Wagner,Jay Roach English USA Comedy Crime Will Ferrell Charles Napier Robert Wagner
my big fat greek wedding 2,Kirk Jones,English,USA,Comedy Family Romance,Nia Vardalos,Louis Mandylor,Joey Fatone,Kirk Jones English USA Comedy Family Romance Nia Vardalos Louis Mandylor Joey Fatone
diary of a wimpy kid: rodrick rules,David Bowers,English,USA,Comedy Family,Zachary Gordon,Rachael Harris,Fran Kranz,David Bowers English USA Comedy Family Zachary Gordon Rachael Harris Fran Kranz
predator,John McTiernan,English,USA,Action Horror Sci-Fi,Shane Black,Bill Duke,Carl Weathers,John McTiernan English USA Action Horror Sci-Fi Shane Black Bill Duke Carl Weathers
amadeus,Milos Forman,English,USA,Biography Drama History Music,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Milos Forman English USA Biography Drama History Music Jeffrey Jones F. Murray Abraham Tom Hulce
prom night,Nelson McCormick,English,USA,Horror Mystery,Ming-Na Wen,Scott Porter,Collins Pennie,Nelson McCormick English USA Horror Mystery Ming-Na Wen Scott Porter Collins Pennie
mean girls,Mark Waters,English,USA,Comedy,Tina Fey,Amy Poehler,Neil Flynn,Mark Waters English USA Comedy Tina Fey Amy Poehler Neil Flynn
under the tuscan sun,Audrey Wells,English,USA,Comedy Drama Romance,Raoul Bova,Lindsay Duncan,Mario Monicelli,Audrey Wells English USA Comedy Drama Romance Raoul Bova Lindsay Duncan Mario Monicelli
gosford park,Robert Altman,English,UK,Drama Mystery,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Robert Altman English UK Drama Mystery Kristin Scott Thomas Bob Balaban Tom Hollander
the o.c.            ,unknown,English,USA,Comedy Drama Romance,Peter Gallagher,Melinda Clarke,Tate Donovan,unknown English USA Comedy Drama Romance Peter Gallagher Melinda Clarke Tate Donovan
peggy sue got married,Francis Ford Coppola,English,USA,Comedy Drama Fantasy Romance,Nicolas Cage,Kathleen Turner,Joan Allen,Francis Ford Coppola English USA Comedy Drama Fantasy Romance Nicolas Cage Kathleen Turner Joan Allen
birdman or (the unexpected virtue of ignorance),Alejandro G. Iñárritu,English,USA,Comedy Drama Romance,Emma Stone,Naomi Watts,Merritt Wever,Alejandro G. Iñárritu English USA Comedy Drama Romance Emma Stone Naomi Watts Merritt Wever
blue jasmine,Woody Allen,English,USA,Drama,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Woody Allen English USA Drama Sally Hawkins Charlie Tahan Andrew Dice Clay
united 93,Paul Greengrass,English,USA,Drama History Thriller,Christian Clemenson,David Alan Basche,Susan Blommaert,Paul Greengrass English USA Drama History Thriller Christian Clemenson David Alan Basche Susan Blommaert
honey,Bille Woodruff,English,USA,Drama Music Romance,Christian Monzon,Mekhi Phifer,Romeo Miller,Bille Woodruff English USA Drama Music Romance Christian Monzon Mekhi Phifer Romeo Miller
glory,Edward Zwick,English,USA,Drama History War,Denzel Washington,Morgan Freeman,Matthew Broderick,Edward Zwick English USA Drama History War Denzel Washington Morgan Freeman Matthew Broderick
spy hard,Rick Friedberg,English,USA,Action Comedy,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Rick Friedberg English USA Action Comedy Hulk Hogan Barry Bostwick Nicollette Sheridan
the fog,John Carpenter,English,USA,Fantasy Horror,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,John Carpenter English USA Fantasy Horror Jamie Lee Curtis Hal Holbrook Janet Leigh
soul surfer,Sean McNamara,English,USA,Biography Drama Family Sport,Dennis Quaid,Chris Brochu,Craig T. Nelson,Sean McNamara English USA Biography Drama Family Sport Dennis Quaid Chris Brochu Craig T. Nelson
catch-22,Mike Nichols,English,USA,Comedy Drama War,Bob Newhart,Bob Balaban,Martin Balsam,Mike Nichols English USA Comedy Drama War Bob Newhart Bob Balaban Martin Balsam
observe and report,Jody Hill,English,USA,Comedy Crime Drama,Collette Wolfe,Celia Weston,Dan Bakkedahl,Jody Hill English USA Comedy Crime Drama Collette Wolfe Celia Weston Dan Bakkedahl
conan the destroyer,Richard Fleischer,English,USA,Action Adventure Fantasy,Mako,Olivia d'Abo,Grace Jones,Richard Fleischer English USA Action Adventure Fantasy Mako Olivia d'Abo Grace Jones
raging bull,Martin Scorsese,English,USA,Biography Drama Sport,Robert De Niro,Cathy Moriarty,Frank Vincent,Martin Scorsese English USA Biography Drama Sport Robert De Niro Cathy Moriarty Frank Vincent
love happens,Brandon Camp,English,USA,Drama Romance,Judy Greer,Sasha Alexander,Frances Conroy,Brandon Camp English USA Drama Romance Judy Greer Sasha Alexander Frances Conroy
young sherlock holmes,Barry Levinson,English,USA,Adventure Fantasy Mystery Thriller,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Barry Levinson English USA Adventure Fantasy Mystery Thriller Nicholas Rowe Roger Ashton-Griffiths Freddie Jones
fame,Kevin Tancharoen,English,USA,Comedy Drama Musical Romance,Kelsey Grammer,Kay Panabaker,Megan Mullally,Kevin Tancharoen English USA Comedy Drama Musical Romance Kelsey Grammer Kay Panabaker Megan Mullally
127 hours,Danny Boyle,English,USA,Adventure Biography Drama Thriller,James Franco,Treat Williams,Kate Burton,Danny Boyle English USA Adventure Biography Drama Thriller James Franco Treat Williams Kate Burton
small time crooks,Woody Allen,English,USA,Comedy Crime,Woody Allen,Jon Lovitz,Michael Rapaport,Woody Allen English USA Comedy Crime Woody Allen Jon Lovitz Michael Rapaport
center stage,Nicholas Hytner,English,USA,Drama Music Romance,Amanda Schull,Susan May Pratt,Ethan Stiefel,Nicholas Hytner English USA Drama Music Romance Amanda Schull Susan May Pratt Ethan Stiefel
love the coopers,Jessie Nelson,English,USA,Comedy,Olivia Wilde,Alex Borstein,Timothée Chalamet,Jessie Nelson English USA Comedy Olivia Wilde Alex Borstein Timothée Chalamet
catch that kid,Bart Freundlich,English,USA,Comedy Crime,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Bart Freundlich English USA Comedy Crime Kristen Stewart Corbin Bleu Kevin G. Schmidt
life as a house,Irwin Winkler,English,USA,Drama,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Irwin Winkler English USA Drama Ian Somerhalder Hayden Christensen Kristin Scott Thomas
steve jobs,Danny Boyle,English,UK,Biography Drama,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Danny Boyle English UK Biography Drama Kate Winslet Michael Fassbender Michael Stuhlbarg
"i love you, beth cooper",Chris Columbus,English,Canada,Comedy Romance,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Chris Columbus English Canada Comedy Romance Alan Ruck Marie Avgeropoulos Shawn Roberts
youth in revolt,Miguel Arteta,English,USA,Comedy Drama Romance,Steve Buscemi,Ari Graynor,Fred Willard,Miguel Arteta English USA Comedy Drama Romance Steve Buscemi Ari Graynor Fred Willard
the legend of the lone ranger,William A. Fraker,English,USA,Action Adventure Western,Jason Robards,Richard Farnsworth,Michael Horse,William A. Fraker English USA Action Adventure Western Jason Robards Richard Farnsworth Michael Horse
the tailor of panama,John Boorman,English,USA,Drama Thriller,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,John Boorman English USA Drama Thriller Daniel Radcliffe Jamie Lee Curtis Mark Margolis
blow out,Brian De Palma,English,USA,Mystery Thriller,Nancy Allen,Dennis Franz,John McMartin,Brian De Palma English USA Mystery Thriller Nancy Allen Dennis Franz John McMartin
getaway,Courtney Solomon,English,USA,Action Crime Thriller,Rebecca Budig,Paul Freeman,Bruce Payne,Courtney Solomon English USA Action Crime Thriller Rebecca Budig Paul Freeman Bruce Payne
the ice storm,Ang Lee,English,USA,Drama,Joan Allen,Kate Burton,Henry Czerny,Ang Lee English USA Drama Joan Allen Kate Burton Henry Czerny
and so it goes,Rob Reiner,English,USA,Comedy Drama Romance,Yaya DaCosta,Annie Parisse,Frankie Valli,Rob Reiner English USA Comedy Drama Romance Yaya DaCosta Annie Parisse Frankie Valli
troop beverly hills,Jeff Kanew,English,USA,Adventure Comedy,Craig T. Nelson,Shelley Long,Kellie Martin,Jeff Kanew English USA Adventure Comedy Craig T. Nelson Shelley Long Kellie Martin
being julia,István Szabó,English,Canada,Comedy Drama Romance,Miriam Margolyes,Shaun Evans,Juliet Stevenson,István Szabó English Canada Comedy Drama Romance Miriam Margolyes Shaun Evans Juliet Stevenson
9½ weeks,Adrian Lyne,English,USA,Drama Romance,David Margulies,Karen Young,Kim Chan,Adrian Lyne English USA Drama Romance David Margulies Karen Young Kim Chan
dragonslayer,Matthew Robbins,English,USA,Action Adventure Fantasy,Ian McDiarmid,Ralph Richardson,Albert Salmi,Matthew Robbins English USA Action Adventure Fantasy Ian McDiarmid Ralph Richardson Albert Salmi
the last station,Michael Hoffman,English,Germany,Biography Drama Romance,David Masterson,Kerry Condon,Anne-Marie Duff,Michael Hoffman English Germany Biography Drama Romance David Masterson Kerry Condon Anne-Marie Duff
ed wood,Tim Burton,English,USA,Biography Comedy Drama,Johnny Depp,Bill Murray,Martin Landau,Tim Burton English USA Biography Comedy Drama Johnny Depp Bill Murray Martin Landau
labor day,Jason Reitman,English,USA,Drama,J.K. Simmons,Kate Winslet,Brooke Smith,Jason Reitman English USA Drama J.K. Simmons Kate Winslet Brooke Smith
mongol: the rise of genghis khan,Sergey Bodrov,Mongolian,Russia,Adventure Biography Drama History War,Tadanobu Asano,Khulan Chuluun,Honglei Sun,Sergey Bodrov Mongolian Russia Adventure Biography Drama History War Tadanobu Asano Khulan Chuluun Honglei Sun
rocknrolla,Guy Ritchie,English,UK,Action Crime Thriller,Tom Hardy,Gerard Butler,Tom Wilkinson,Guy Ritchie English UK Action Crime Thriller Tom Hardy Gerard Butler Tom Wilkinson
megaforce,Hal Needham,English,USA,Action Sci-Fi,Barry Bostwick,Michael Beck,Henry Silva,Hal Needham English USA Action Sci-Fi Barry Bostwick Michael Beck Henry Silva
hamlet,Kenneth Branagh,English,UK,Drama,Julie Christie,Brian Blessed,Richard Briers,Kenneth Branagh English UK Drama Julie Christie Brian Blessed Richard Briers
mao's last dancer,Bruce Beresford,English,Australia,Biography Drama Music Romance,Bruce Greenwood,Suzie Steen,Aden Young,Bruce Beresford English Australia Biography Drama Music Romance Bruce Greenwood Suzie Steen Aden Young
midnight special,Jeff Nichols,English,Greece,Adventure Drama Sci-Fi Thriller,Kirsten Dunst,Sam Shepard,Paul Sparks,Jeff Nichols English Greece Adventure Drama Sci-Fi Thriller Kirsten Dunst Sam Shepard Paul Sparks
anything else,Woody Allen,English,USA,Comedy Romance,Woody Allen,Stockard Channing,Fisher Stevens,Woody Allen English USA Comedy Romance Woody Allen Stockard Channing Fisher Stevens
the railway man,Jonathan Teplitzky,English,Australia,Biography Drama Romance War,Jeremy Irvine,Colin Firth,Sam Reid,Jonathan Teplitzky English Australia Biography Drama Romance War Jeremy Irvine Colin Firth Sam Reid
unforgettable            ,unknown,unknown,USA,Drama Mystery,Poppy Montgomery,Dylan Walsh,Dallas Roberts,unknown unknown USA Drama Mystery Poppy Montgomery Dylan Walsh Dallas Roberts
the white ribbon,Michael Haneke,German,Germany,Drama Mystery,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Michael Haneke German Germany Drama Mystery Ulrich Tukur Burghart Klaußner Leonie Benesch
restoration,Zack Ward,English,USA,Horror,Zack Ward,Anna Harr,James Cullen Bressack,Zack Ward English USA Horror Zack Ward Anna Harr James Cullen Bressack
the wraith,Mike Marvin,English,USA,Action Horror Romance Sci-Fi Thriller,Clint Howard,Randy Quaid,Nick Cassavetes,Mike Marvin English USA Action Horror Romance Sci-Fi Thriller Clint Howard Randy Quaid Nick Cassavetes
the salton sea,D.J. Caruso,English,USA,Crime Drama Mystery Thriller,Adam Goldberg,Meat Loaf,Anthony LaPaglia,D.J. Caruso English USA Crime Drama Mystery Thriller Adam Goldberg Meat Loaf Anthony LaPaglia
metallica through the never,Nimród Antal,English,USA,Music,James Hetfield,Mackenzie Gray,Lars Ulrich,Nimród Antal English USA Music James Hetfield Mackenzie Gray Lars Ulrich
the informers,Gregor Jordan,English,Germany,Crime Drama Thriller,Austin Nichols,Brad Renfro,Lou Taylor Pucci,Gregor Jordan English Germany Crime Drama Thriller Austin Nichols Brad Renfro Lou Taylor Pucci
carlos            ,unknown,English,France,Biography Crime Drama Thriller,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,unknown English France Biography Crime Drama Thriller Edgar Ramírez Nora von Waldstätten Katharina Schüttler
i come with the rain,Tran Anh Hung,English,France,Thriller,Takuya Kimura,Simón Andreu,Shawn Yue,Tran Anh Hung English France Thriller Takuya Kimura Simón Andreu Shawn Yue
one man's hero,Lance Hool,English,Spain,Action Drama History Romance War Western,Tom Berenger,Joaquim de Almeida,Mark Moses,Lance Hool English Spain Action Drama History Romance War Western Tom Berenger Joaquim de Almeida Mark Moses
day of the dead,George A. Romero,English,USA,Horror,Greg Nicotero,John Amplas,Joseph Pilato,George A. Romero English USA Horror Greg Nicotero John Amplas Joseph Pilato
i am wrath,Chuck Russell,English,USA,Action Crime Drama Thriller,Sam Trammell,Rebecca De Mornay,Amanda Schull,Chuck Russell English USA Action Crime Drama Thriller Sam Trammell Rebecca De Mornay Amanda Schull
renaissance,Christian Volckman,English,France,Action Animation Sci-Fi Thriller,Romola Garai,Catherine McCormack,Kevork Malikyan,Christian Volckman English France Action Animation Sci-Fi Thriller Romola Garai Catherine McCormack Kevork Malikyan
forsaken,Jon Cassar,English,Canada,Drama Western,Demi Moore,Landon Liboiron,Michael Wincott,Jon Cassar English Canada Drama Western Demi Moore Landon Liboiron Michael Wincott
red sonja,Richard Fleischer,English,Netherlands,Action Adventure Fantasy,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,Richard Fleischer English Netherlands Action Adventure Fantasy Ernie Reyes Jr. Brigitte Nielsen Sandahl Bergman
red lights,Rodrigo Cortés,English,Spain,Drama Horror Mystery Thriller,Robert De Niro,Toby Jones,Craig Roberts,Rodrigo Cortés English Spain Drama Horror Mystery Thriller Robert De Niro Toby Jones Craig Roberts
superbad,Greg Mottola,English,USA,Comedy,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Greg Mottola English USA Comedy Emma Stone Joe Lo Truglio Kevin Corrigan
madea goes to jail,Tyler Perry,English,USA,Comedy Crime Drama,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,Tyler Perry English USA Comedy Crime Drama Vanessa Ferlito Keshia Knight Pulliam Derek Luke
wolves,David Hayter,English,France,Action Horror,Jason Momoa,Jennifer Hale,Stephen McHattie,David Hayter English France Action Horror Jason Momoa Jennifer Hale Stephen McHattie
step up 2: the streets,Jon M. Chu,English,USA,Drama Music Musical Romance,Cassie Ventura,Mari Koda,Luis Rosado,Jon M. Chu English USA Drama Music Musical Romance Cassie Ventura Mari Koda Luis Rosado
hoodwinked!,Cory Edwards,English,USA,Action Animation Comedy Crime Family,Anne Hathaway,Chazz Palminteri,Jim Belushi,Cory Edwards English USA Action Animation Comedy Crime Family Anne Hathaway Chazz Palminteri Jim Belushi
hotel rwanda,Terry George,English,UK,Drama History War,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Terry George English UK Drama History War Don Cheadle Sophie Okonedo Hakeem Kae-Kazim
hitman,Xavier Gens,English,France,Action Crime Drama Thriller,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,Xavier Gens English France Action Crime Drama Thriller Henry Ian Cusick Dougray Scott Ulrich Thomsen
black nativity,Kasi Lemmons,English,USA,Drama Family Music Musical,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,Kasi Lemmons English USA Drama Family Music Musical Jennifer Hudson Mary J. Blige Vondie Curtis-Hall
the prince,Brian A Miller,English,USA,Action Thriller,Bruce Willis,50 Cent,Jessica Lowndes,Brian A Miller English USA Action Thriller Bruce Willis 50 Cent Jessica Lowndes
city of ghosts,Matt Dillon,English,USA,Crime Drama Thriller,Kirk Fox,Shawn Andrews,Rob Campbell,Matt Dillon English USA Crime Drama Thriller Kirk Fox Shawn Andrews Rob Campbell
the others,Alejandro Amenábar,English,USA,Fantasy Horror Thriller,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,Alejandro Amenábar English USA Fantasy Horror Thriller Fionnula Flanagan Elaine Cassidy Eric Sykes
aliens,James Cameron,English,USA,Action Adventure Sci-Fi,Michael Biehn,Carrie Henn,Jenette Goldstein,James Cameron English USA Action Adventure Sci-Fi Michael Biehn Carrie Henn Jenette Goldstein
my fair lady,George Cukor,English,USA,Drama Family Musical Romance,Jeremy Brett,Rex Harrison,Theodore Bikel,George Cukor English USA Drama Family Musical Romance Jeremy Brett Rex Harrison Theodore Bikel
i know what you did last summer,Jim Gillespie,English,USA,Horror Mystery Thriller,Muse Watson,Sarah Michelle Gellar,Anne Heche,Jim Gillespie English USA Horror Mystery Thriller Muse Watson Sarah Michelle Gellar Anne Heche
let's be cops,Luke Greenfield,English,USA,Comedy,Rob Riggle,Damon Wayans Jr.,James D'Arcy,Luke Greenfield English USA Comedy Rob Riggle Damon Wayans Jr. James D'Arcy
sideways,Alexander Payne,English,USA,Adventure Comedy Drama Romance,Virginia Madsen,Patrick Gallagher,M.C. Gainey,Alexander Payne English USA Adventure Comedy Drama Romance Virginia Madsen Patrick Gallagher M.C. Gainey
beerfest,Jay Chandrasekhar,English,USA,Comedy,Chris Moss,Owain Yeoman,Jay Chandrasekhar,Jay Chandrasekhar English USA Comedy Chris Moss Owain Yeoman Jay Chandrasekhar
halloween,John Carpenter,English,USA,Horror Thriller,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,John Carpenter English USA Horror Thriller Jamie Lee Curtis Donald Pleasence P.J. Soles
hero,Yimou Zhang,Mandarin,China,Action Adventure History,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang Mandarin China Action Adventure History Jet Li Tony Chiu Wai Leung Maggie Cheung
good boy!,John Hoffman,English,USA,Comedy Drama Family Fantasy Sci-Fi,Liam Aiken,Molly Shannon,Kevin Nealon,John Hoffman English USA Comedy Drama Family Fantasy Sci-Fi Liam Aiken Molly Shannon Kevin Nealon
the best man holiday,Malcolm D. Lee,English,USA,Comedy Drama,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,Malcolm D. Lee English USA Comedy Drama Harold Perrineau Sanaa Lathan Eddie Cibrian
